1,百分之百,level_most,1
2,倍加,level_most,1
3,备至,level_most,1
4,不得了,level_most,1
5,不堪,level_most,1
6,不可开交,level_most,1
7,不亦乐乎,level_most,1
8,不折不扣,level_most,1
9,彻头彻尾,level_most,1
10,充分,level_most,1
11,到头,level_most,1
12,地地道道,level_most,1
13,非常,level_most,1
14,极,level_most,1
15,极度,level_most,1
16,极端,level_most,1
17,极其,level_most,1
18,极为,level_most,1
19,截然,level_most,1
20,尽,level_most,1
21,惊人地,level_most,1
22,绝,level_most,1
23,绝顶,level_most,1
24,绝对,level_most,1
25,绝对化,level_most,1
26,刻骨,level_most,1
29,满贯,level_most,1
30,满心,level_most,1
31,莫大,level_most,1
33,入骨,level_most,1
34,甚为,level_most,1
35,十二分,level_most,1
36,十分,level_most,1
37,十足,level_most,1
39,滔天,level_most,1
42,完全,level_most,1
43,完完全全,level_most,1
45,万般,level_most,1
46,万分,level_most,1
47,万万,level_most,1
48,无比,level_most,1
49,无度,level_most,1
50,无可估量,level_most,1
51,无以复加,level_most,1
52,无以伦比,level_most,1
53,要命,level_most,1
54,要死,level_most,1
55,已极,level_most,1
56,已甚,level_most,1
57,异常,level_most,1
58,逾常,level_most,1
60,之极,level_most,1
61,之至,level_most,1
62,至极,level_most,1
63,卓绝,level_most,1
64,最为,level_most,1
65,佼佼,level_most,1
69,最,level_most,1
71,不少,level_very,1
72,不胜,level_very,1
75,沉沉,level_very,1
76,出奇,level_very,1
77,大为,level_very,1
79,多多,level_very,1
80,多加,level_very,1
81,多么,level_very,1
82,分外,level_very,1
83,格外,level_very,1
84,够瞧的,level_very,1
85,够戗,level_very,1
87,好不,level_very,1
88,何等,level_very,1
89,很,level_very,1
90,很是,level_very,1
94,老大,level_very,1
96,颇,level_very,1
97,颇为,level_very,1
98,甚,level_very,1
99,实在,level_very,1
100,太,level_very,1
101,太甚,level_very,1
102,特,level_very,1
103,特别,level_very,1
104,尤,level_very,1
105,尤其,level_very,1
